image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.000203,0,0.00011,1.3e-05,0.99924,3.5e-05,0.000398,1e-06
img_00007.jpg,0.0515855,0.0128505,0.0145115,0.014767,0.001019,0.0011205,0.0027835,0.9013615
img_00009.jpg,0.708964666666667,0.161417333333333,0.019709,0.0122353333333333,0.004173,0.0713146666666667,0.00220833333333333,0.019977
img_00018.jpg,0.574739,0.0497973333333333,0.0172363333333333,0.0122243333333333,0.00315066666666667,0.33051,0.003773,0.008569
img_00027.jpg,0.616569,0.143624,0.000547,0.001125,0.0027875,0.1815985,0.000541,0.053208
img_00030.jpg,0.051178,0.009688,0.018051,0.008021,0.604748,0.021571,0.274361,0.012382
img_00040.jpg,0.1870095,0.021847,0.0068445,0.00359,0.009369,0.2797675,0.3912495,0.100323
img_00046.jpg,0.549538,0.000726,0.0023,0.000398,0.432662,0.008831,0.004504,0.001041
img_00053.jpg,0.905881,0.0136195,0.0099675,0.0033035,0.008448,0.0428245,0.0042675,0.0116885
img_00071.jpg,0.0904223333333333,0.00179266666666667,0.008742,0.693312333333333,0.013671,0.180068666666667,0.002343,0.009648
img_00075.jpg,0.241989,0.032425,0.000368,0.000668,0.010305,0.711592,0.002536,0.000118
img_00102.jpg,0.079082,0.1161135,0.0032675,0.001053,0.0019535,0.0943185,0.001713,0.702499
img_00103.jpg,0.958918,0.011311,0.000479333333333333,0.000621333333333333,0.000446,0.0124143333333333,0.000764666666666667,0.0150453333333333
img_00109.jpg,0.9936225,0.000158,0.0003935,8.3e-05,0.0028025,0.0020965,0.0003465,0.000497
img_00119.jpg,0.026616,0.000458,0.005401,0.002219,0.459668,0.090608,0.006041,0.408989
img_00120.jpg,0.6089345,0.025581,0.0003365,0.0012405,0.0002615,0.0014255,0.0819445,0.280276
img_00125.jpg,0.701609666666667,0.00499633333333333,0.007101,0.00652666666666667,0.001175,0.0173596666666667,0.0212693333333333,0.239962333333333
img_00128.jpg,0.0136155,0.0419105,0.372968,0.001611,0.002704,0.003542,0.0007675,0.562882
img_00129.jpg,0.16878,0.010364,0.0089805,0.003409,0.012117,0.1187215,0.5687555,0.108872
img_00133.jpg,0.082089,0.000898,0.001702,0.005917,0.886443,0.01589,0.00637,0.000691
img_00138.jpg,0.9161695,0.020425,0.007196,0.0019695,0.0069925,0.011628,0.0023285,0.0332905
img_00141.jpg,5.2e-05,0.0001175,0.0028125,4.65e-05,3.6e-05,1.15e-05,0.0008875,0.996036
img_00152.jpg,0.000169,0.004165,0.01221,0.0007945,0.0010875,0.0562985,0.091248,0.8340275
img_00161.jpg,4.2e-05,6.7e-05,0.001131,1e-05,2.6e-05,7.4e-05,5.85e-05,0.998591
